ISO3_CODE,NAME_ENGL,risk_level_code,region,NUTS_CODE
Field date,"NA",2020-04-16,NA,NA
AFG,Afghanistan,3,NA,NA
ALB,Albania,2,NA,NA
DZA,Algeria,3,NA,NA
AND,Andorra,2,NA,NA
AGO,Angola,3,NA,NA
ATG,Antigua and Barbuda,3,NA,NA
ARG,Argentina,2,NA,NA
ARM,Armenia,2,NA,NA
AUS,Australia,0,NA,NA
AUT,Austria,3,NA,NA
AUT,Jungholz,0,TRUE,AT_70818
AUT,Mittelberg,0,TRUE,AT_80228
AZE,Azerbaijan,3,NA,NA
BHS,Bahamas,0,NA,NA
BHR,Bahrain,2,NA,NA
BGD,Bangladesh,3,NA,NA
BRB,Barbados,4,NA,NA
BLR,Belarus,3,NA,NA
BEL,Belgium,3,NA,NA
BLZ,Belize,3,NA,NA
BEN,Benin,3,NA,NA
BTN,Bhutan,3,NA,NA
BOL,Bolivia,2,NA,NA
BIH,Bosnia and Herzegovina,2,NA,NA
BWA,Botswana,1,NA,NA
BRA,Brazil,1,NA,NA
BRN,Brunei,0,NA,NA
BGR,Bulgaria,2,NA,NA
BFA,Burkina Faso,3,NA,NA
BDI,Burundi,3,NA,NA
KHM,Cambodia,0,NA,NA
CMR,Cameroon,3,NA,NA
CAN,Canada,3,NA,NA
CPV,Cape Verde,3,NA,NA
CAF,Central African Republic,3,NA,NA
TCD,Chad,3,NA,NA
CHL,Chile,2,NA,NA
CHN,China,0,NA,NA
COL,Colombia,2,NA,NA
COM,Comoros,3,NA,NA
COG,Congo,3,NA,NA
CRI,Costa Rica,3,NA,NA
CIV,Cote D'Ivoire,3,NA,NA
HRV,Croatia,2,NA,NA
CUB,Cuba,3,NA,NA
CYP,Cyprus,2,NA,NA
CZE,Czechia,2,NA,NA
COD,Democratic Republic of The Congo,3,NA,NA
DNK,Denmark,3,NA,NA
DJI,Djibouti,3,NA,NA
DMA,Dominica,0,NA,NA
DOM,Dominican Republic,3,NA,NA
ECU,Ecuador,2,NA,NA
EGY,Egypt,2,NA,NA
SLV,El Salvador,3,NA,NA
GNQ,Equatorial Guinea,3,NA,NA
ERI,Eritrea,3,NA,NA
EST,Estonia,2,NA,NA
SWZ,Eswatini,1,NA,NA
ETH,Ethiopia,3,NA,NA
FJI,Fiji,0,NA,NA
FIN,Finland,0,NA,NA
FIN,Uusimaa,3,TRUE,FI1B
FIN,Varsinais-Suomi,3,TRUE,FI1C1
FIN,South Karelia,3,TRUE,FI1C5
FIN,Paijat-Hame,3,TRUE,FI1C3
FIN,Kymenlaakso,3,TRUE,FI1C4
FIN,Kanta-Hame,4,TRUE,FI1C2
FIN,Pirkanmaa,4,TRUE,FI197
FRA,France,2,NA,NA
FRA,Moselle,1,TRUE,FRF33
GAB,Gabon,3,NA,NA
GMB,Gambia,3,NA,NA
GEO,Georgia,3,NA,NA
DEU,Germany,5,NA,NA
GHA,Ghana,3,NA,NA
GRC,Greece,3,NA,NA
GRD,Grenada,0,NA,NA
GTM,Guatemala,3,NA,NA
GIN,Guinea,3,NA,NA
GNB,Guinea-Bissau,3,NA,NA
GUY,Guyana,3,NA,NA
HTI,Haiti,3,NA,NA
HND,Honduras,3,NA,NA
HKG,Hong Kong,0,NA,NA
HUN,Hungary,2,NA,NA
ISL,Iceland,0,NA,NA
IND,India,3,NA,NA
IDN,Indonesia,3,NA,NA
IRN,Iran,2,NA,NA
IRQ,Iraq,3,NA,NA
IRL,Ireland,3,NA,NA
IRL,South-West,4,TRUE,IE053
IRL,Mid-West,4,TRUE,IE051
IRL,South-East,4,TRUE,IE052
ISR,Israel,0,NA,NA
ITA,Italy,3,NA,NA
JAM,Jamaica,3,NA,NA
JPN,Japan,0,NA,NA
