,ISO3_CODE,risk_level_code,NAME_DE,INFO_DE
0,Field date,2021-04-24,,
48,COG,3,Kongo Rep, seit 15. Juni 2020
49,COG,3,Kongo,Kongo Rep (seit 15. Juni 2020)
3,FRA,1,Frankreich,Frankreich- das Département Moselle (Virusvarianten-Gebiet seit 2. März 2021; bereits seit 9. Januar 2021 Risikogebiet)
0,FIN,4,Finnland,die Regionen Pirkanmaa Risikogebiet bis einschl. 17. April 2021 sowie Etelä-Karjala und Kymenlaakso Risikogebiete bis einschl. 24. April 2021
1,IRL,4,Irland,die Regionen Mid-West und South-East Risikogebiete bis einschl. 17. April 2021 sowie West Risikogebiet bis einschl. 24. April 2021
3,GBR,4,Vereinigtes Königreich,"Vereinigtes Königreich Großbritannien und Nordirland, einschließlich der Isle of Man sowie aller Kanalinseln und der britischen Überseegebiete (Risikogebiete bis einschl. 17. April 2021), die britischen Überseegebiete Bermuda, Britische Jungferninseln und Falkland Inseln gelten weiterhin als Risikogebiete"
4,NOR,4,Norwegen,die Provinz Vestfold og Telemark Risikogebiet bis einschl. 24. April 2021
0,,3,Madeira,Madeira (autonome Region) (seit 14. März 2021; Virusvarianten-Gebiet 27. Januar 2021 – 13. März 2021)
1,,3,Azoren,Azoren (autonome Region) (seit 18. April 2021)
2,,3,Algarve,Algarve (seit 18. April 2021)
