ISO3_ADMIN,ISO3_CODE,NAME_EN
NLD,ABW,Aruba
GBR,AIA,Anguilla
FIN,ALA,Åland Islands
USA,ASM,American Samoa
FRA,ATF,French Southern Territories
NLD,BES,"Bonaire, Sint Eustatius and Saba"
FRA,BLM,Saint Barthélemy
GBR,BMU,Bermuda
NOR,BVT,Bouvet Island
AUS,CCK,Cocos (Keeling) Islands
NZL,COK,Cook Islands
NLD,CUW,Curaçao
AUS,CXR,Christmas Island
GBR,CYM,Cayman Islands
GBR,FLK,Falkland Islands (Malvinas)
DNK,FRO,Faroe Islands
GBR,GGY,Guernsey
GBR,GIB,Gibraltar
FRA,GLP,Guadeloupe
DNK,GRL,Greenland
FRA,GUF,French Guiana
USA,GUM,Guam
AUS,HMD,Heard Island and McDonald Islands
GBR,IMN,Isle of Man
GBR,IOT,British Indian Ocean Territory
GBR,JEY,Jersey
CHN,MAC,Macao
FRA,MAF,Saint Martin (French part)
USA,MNP,Northern Mariana Islands
GBR,MSR,Montserrat
FRA,MTQ,Martinique
FRA,MYT,Mayotte
AUS,NFK,Norfolk Island
GBR,PCN,Pitcairn
USA,PRI,Puerto Rico
FRA,PYF,French Polynesia
FRA,REU,Réunion
GBR,SGS,South Georgia and the South Sandwich Islands
GBR,SHN,"Saint Helena, Ascension and Tristan da Cunha"
NOR,SJM,Svalbard and Jan Mayen
FRA,SPM,Saint Pierre and Miquelon
NLD,SXM,Sint Maarten (Dutch part)
GBR,TCA,Turks and Caicos Islands
NZL,TKL,Tokelau
CHN,TWN,"Taiwan, Province of China"
USA,UMI,United States Minor Outlying Islands
GBR,VGB,"Virgin Islands, British"
USA,VIR,"Virgin Islands, U.S."
FRA,WLF,Wallis and Futuna
SDN,XU,Abyiei
CHN,XC,Aksai Chin
IND,XD,Arunachal Pradesh
EGY,XF,Hala'Ib Triangle
SDN,XV,Bir Tawil
KEN,XG,Ilemi Triangle
IND,XH,Jammu Kashmir
RUS,XI,Kuril Islands
CHN,XA,Paracel Islands
MAR,ESH,"Western Sahara (Marruecos, banda de rateros)"
