,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TZA,UGA,UKR,URY,USA,UZB,VAT,VCT,VEN,VNM,VUT,WSM,XKX,YEM,ZAF,ZMB,ZWE
2020-06-15,3,3,3,0,3,3,3,0,0,0,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,0,0,3,0,3,3,3,3,3,3,0,3,3,0,0,5,3,0,0,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,3,3,3,3,3,0,0,3,3,0,3,0,3,0,3,3,0,3,3,0,0,0,3,0,0,3,3,3,3,0,0,0,3,3,3,3,3,3,0,3,3,0,0,0,3,0,3,3,0,3,0,3,3,0,3,3,3,3,3,0,3,3,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,0,0,0,3,0,3,0,3,0,3,0,3,3,3,0,0,3,3,0,3,3,3,0,3,0,0,3,3,0,3,3,3,3,3,0,0,0,3,0,3,0,3,3,3,0,4,3,0,0,3,3,0,0,3,3,3,3,3
2020-06-16,3,3,3,0,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,0,0,3,0,3,3,3,3,3,3,0,3,3,0,0,5,3,3,0,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,3,0,3,3,0,3,3,0,0,0,3,0,0,3,3,3,3,0,3,0,3,3,3,3,3,3,0,3,3,0,0,0,3,0,3,3,0,3,0,3,3,0,3,3,3,3,3,0,3,3,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,3,3,0,3,3,3,3,3,3,3,0,3,0,3,0,3,3,3,0,4,3,0,3,3,3,0,0,3,3,3,3,3
2020-06-17,3,3,3,0,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,0,0,3,0,3,3,3,3,3,3,0,3,3,0,0,5,3,3,0,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,3,3,3,3,3,0,3,3,3,0,3,0,3,0,3,3,0,3,3,0,0,0,3,0,0,3,3,3,3,0,3,0,3,3,3,3,3,3,0,3,3,0,0,0,3,0,3,3,0,3,0,3,3,0,3,3,3,3,3,0,3,3,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,3,3,0,3,3,3,3,3,3,3,0,3,0,3,0,3,3,3,0,4,3,0,3,3,3,0,0,3,3,3,3,3
2020-06-19,3,3,3,0,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,0,0,3,0,3,3,3,3,3,3,0,3,3,0,0,5,3,3,0,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,3,3,3,0,3,0,3,3,3,0,3,0,3,0,3,3,0,3,3,0,0,0,3,0,0,3,3,3,3,0,3,0,3,3,3,3,3,3,0,3,3,0,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,3,3,0,3,3,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,0,3,0,3,0,3,3,3,0,4,3,0,3,3,0,0,0,3,3,3,3,3
2020-06-26,3,3,3,0,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,0,3,0,3,0,0,3,0,3,3,3,3,3,3,0,3,3,0,0,5,3,3,0,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,3,3,3,0,3,0,3,3,3,0,3,0,3,0,3,3,0,3,3,0,0,0,3,0,0,3,3,3,0,0,3,0,3,3,3,3,3,3,0,3,3,0,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,3,3,0,3,3,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,0,3,0,3,0,0,0,3,0,3,0,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,0,3,0,3,0,3,3,3,0,4,3,0,3,3,0,0,0,3,3,3,3,3
2020-07-01,3,3,3,0,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,0,3,0,3,0,0,3,0,3,3,3,3,3,3,0,3,3,0,0,5,3,3,0,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,3,3,3,0,3,0,3,3,3,0,3,0,3,0,3,3,0,3,3,0,0,0,3,0,0,3,3,3,0,0,3,0,3,3,3,3,3,3,0,3,3,0,0,0,3,0,3,3,0,3,0,3,3,0,3,0,3,3,3,0,3,3,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,0,3,0,3,0,0,0,3,0,3,3,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,0,3,0,3,0,3,3,3,0,4,3,0,3,3,0,0,0,3,3,3,3,3
2020-07-03,3,3,3,0,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,0,3,0,3,0,0,3,0,3,3,3,3,3,3,3,3,3,0,0,5,3,3,0,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,3,3,3,0,3,0,3,3,3,0,3,0,3,0,3,3,0,3,3,0,3,0,3,0,0,3,3,3,0,0,3,0,3,0,3,3,3,3,0,3,3,0,0,0,3,0,3,3,0,3,0,3,3,0,0,0,3,3,3,0,3,0,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,0,3,0,3,0,0,3,3,0,3,3,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,0,3,0,3,0,3,3,3,0,3,3,0,3,3,0,0,0,3,3,3,3,3
2020-07-14,3,3,3,0,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,0,3,0,3,0,0,3,0,3,3,3,3,3,3,3,3,3,0,0,5,3,3,0,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,3,3,3,0,3,0,3,3,3,0,3,0,3,0,3,3,0,3,3,0,3,0,3,0,0,3,3,3,0,0,3,0,3,0,3,3,3,3,0,3,3,0,3,0,3,0,3,3,0,3,0,3,3,0,0,0,3,3,3,0,3,0,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,0,3,0,3,0,0,3,3,0,3,3,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,0,3,0,3,3,3,0,3,3,3,0,3,0,3,0,3,3,3,0,3,3,0,3,3,0,0,0,3,3,3,3,3
2020-07-17,3,3,3,0,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,0,0,3,0,3,3,3,3,3,3,3,3,3,0,0,5,3,3,0,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,3,3,3,0,3,0,3,3,3,0,3,0,3,0,3,3,0,3,3,0,3,0,3,0,0,3,3,3,0,0,3,0,3,0,3,3,3,3,0,3,3,0,3,0,3,0,3,3,3,3,0,3,3,0,0,3,3,3,3,0,3,0,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,0,3,0,3,0,0,3,3,0,3,3,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,0,3,3,3,3,3,0,3,3,3,0,3,0,3,0,3,3,3,0,3,3,0,3,3,0,0,0,3,3,3,3,3
2020-07-20,3,3,3,0,3,3,3,3,0,0,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,0,3,0,3,0,0,3,0,3,3,3,3,3,3,3,3,3,0,0,5,3,3,0,3,3,3,3,3,0,0,3,0,0,0,0,3,0,0,3,3,3,0,3,0,3,3,3,0,3,0,3,0,3,3,0,3,3,0,3,0,3,0,0,3,3,3,0,0,3,0,3,0,3,3,3,3,0,3,3,0,3,0,3,0,3,3,3,3,0,3,3,0,0,3,3,3,3,0,3,0,3,3,3,3,0,0,0,3,0,0,3,3,3,3,3,0,3,0,3,0,3,3,3,0,3,3,3,3,3,0,0,3,3,0,3,3,3,3,3,0,0,0,3,3,3,3,3,0,3,3,3,0,3,0,3,0,3,3,3,0,3,3,0,3,3,0,0,0,3,3,3,3,3
